Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,iT_Sepi_28B01,iT_Shom_28A10,Scap_29E04_ad,Scap_2C01_ad,Scap_2C12_adm,Scap_58D05_ad,Scap_6C02_adm,Scap_6C05_adm,Scap_9C11_adm,Scap_DM01A05_,Scap_DM12A11_,Scap_DM16A07_,Scap_DM18D08_,Scap_DM21F09_,Scap_DM21G11,Scap_DM21G12_,Scap_DM23E01_,Scap_DM23E05_,Scap_DM28A07_,Scap_DM34E02_,Scap_DM3F02_a,Scap_LM7D7_a,seed_ortholog,evalue,score,eggNOG_OGs,max_annot_lvl,COG_category,Description,Preferred_name,GOs,EC,KEGG_ko,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs
group_420,,aldo/keto reductase,22,22,1,1,643,NA,NA,NA,939,939,939,iT_Sepi_28B01_01421,iT_Shom_28A10_00747,Scap_29E04_ad_02088,Scap_2C01_ad_02130,Scap_2C12_adm_00283,Scap_58D05_ad_02071,Scap_6C02_adm_02112,Scap_6C05_adm_01964,Scap_9C11_adm_01396,Scap_DM01A05__01862,Scap_DM12A11__00539,Scap_DM16A07__01907,Scap_DM18D08__00750,Scap_DM21F09__01992,Scap_DM21G11_02138,Scap_DM21G12__02011,Scap_DM23E01__02218,Scap_DM23E05__02049,Scap_DM28A07__01113,Scap_DM34E02__01740,Scap_DM3F02_a_02123,Scap_LM7D7_a_02129,435838.HMPREF0786_02257,2.19e-219,605,"COG0667@1|root,COG0667@2|Bacteria,1TPIY@1239|Firmicutes,4HA4Q@91061|Bacilli,4GX50@90964|Staphylococcaceae",91061|Bacilli,C,Aldo/keto reductase family,iolS,"GO:0003674,GO:0003824,GO:0008150,GO:0008152,GO:0016491,GO:0055114",-,ko:K06607,-,-,-,-,"ko00000,ko01000",-,-,-,Aldo_ket_red
group_419,,14-dihydroxy-2-naphthoate polyprenyltransferase,22,22,1,1,642,NA,NA,NA,939,939,939,iT_Sepi_28B01_00740,iT_Shom_28A10_00392,Scap_29E04_ad_01393,Scap_2C01_ad_01700,Scap_2C12_adm_01214,Scap_58D05_ad_01569,Scap_6C02_adm_00773,Scap_6C05_adm_01307,Scap_9C11_adm_00007,Scap_DM01A05__00781,Scap_DM12A11__00184,Scap_DM16A07__00824,Scap_DM18D08__00392,Scap_DM21F09__00145,Scap_DM21G11_01780,Scap_DM21G12__00955,Scap_DM23E01__01482,Scap_DM23E05__00021,Scap_DM28A07__00779,Scap_DM34E02__00087,Scap_DM3F02_a_00144,Scap_LM7D7_a_01720,435838.HMPREF0786_00142,3.33e-214,592,"COG1575@1|root,COG1575@2|Bacteria,1TSZV@1239|Firmicutes,4HA68@91061|Bacilli,4GX38@90964|Staphylococcaceae",91061|Bacilli,H,Belongs to the MenA family. Type 1 subfamily,menA,-,2.5.1.74,ko:K02548,"ko00130,ko01100,ko01110,map00130,map01100,map01110",M00116,"R05617,R06858,R10757","RC02935,RC02936,RC03264","ko00000,ko00001,ko00002,ko01000,ko01006",-,-,-,UbiA
prmA,prmA,50S ribosomal protein L11 methyltransferase,22,22,1,1,641,NA,NA,NA,939,939,939,iT_Sepi_28B01_00261,iT_Shom_28A10_01091,Scap_29E04_ad_00884,Scap_2C01_ad_01191,Scap_2C12_adm_00395,Scap_58D05_ad_01186,Scap_6C02_adm_00263,Scap_6C05_adm_00796,Scap_9C11_adm_00518,Scap_DM01A05__00259,Scap_DM12A11__01454,Scap_DM16A07__01423,Scap_DM18D08__01094,Scap_DM21F09__00655,Scap_DM21G11_01261,Scap_DM21G12__00633,Scap_DM23E01__01099,Scap_DM23E05__00533,Scap_DM28A07__00260,Scap_DM34E02__00465,Scap_DM3F02_a_00652,Scap_LM7D7_a_01207,435838.HMPREF0786_00658,3.38e-223,615,"COG2264@1|root,COG2264@2|Bacteria,1TPKI@1239|Firmicutes,4HAMF@91061|Bacilli,4GY1Y@90964|Staphylococcaceae",91061|Bacilli,J,Ribosomal protein L11 methyltransferase,prmA,"GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006464,GO:0006479,GO:0006807,GO:0008150,GO:0008152,GO:0008168,GO:0008213,GO:0008276,GO:0009987,GO:0016740,GO:0016741,GO:0019538,GO:0032259,GO:0036211,GO:0043170,GO:0043412,GO:0043414,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044424,GO:0044464,GO:0071704,GO:0140096,GO:1901564",-,ko:K02687,-,-,-,-,"ko00000,ko01000,ko03009",-,-,-,PrmA
trxB,trxB,thioredoxin-disulfide reductase,22,22,1,1,639,NA,NA,NA,942,942,942,iT_Sepi_28B01_01251,iT_Shom_28A10_00578,Scap_29E04_ad_01906,Scap_2C01_ad_01876,Scap_2C12_adm_00113,Scap_58D05_ad_01790,Scap_6C02_adm_01776,Scap_6C05_adm_01789,Scap_9C11_adm_01226,Scap_DM01A05__01693,Scap_DM12A11__00370,Scap_DM16A07__02206,Scap_DM18D08__00579,Scap_DM21F09__01573,Scap_DM21G11_01969,Scap_DM21G12__01735,Scap_DM23E01__01882,Scap_DM23E05__01422,Scap_DM28A07__00944,Scap_DM34E02__00273,Scap_DM3F02_a_01777,Scap_LM7D7_a_01960,435838.HMPREF0786_02041,3e-222,613,"COG0492@1|root,COG0492@2|Bacteria,1TNZS@1239|Firmicutes,4HA4N@91061|Bacilli,4GXGG@90964|Staphylococcaceae",91061|Bacilli,C,Belongs to the class-II pyridine nucleotide-disulfide oxidoreductase family,trxB,"GO:0000302,GO:0000303,GO:0000305,GO:0003674,GO:0003824,GO:0004791,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006801,GO:0006950,GO:0006979,GO:0008150,GO:0008152,GO:0009636,GO:0009987,GO:0010035,GO:0015036,GO:0016209,GO:0016491,GO:0016651,GO:0016667,GO:0016668,GO:0019430,GO:0033554,GO:0034599,GO:0034614,GO:0042221,GO:0044237,GO:0044424,GO:0044464,GO:0050896,GO:0051716,GO:0055114,GO:0070887,GO:0071450,GO:0071451,GO:0072593,GO:0097237,GO:0098754,GO:0098869,GO:1901700,GO:1901701,GO:1990748",1.8.1.9,ko:K00384,"ko00450,map00450",-,"R02016,R03596,R09372","RC00013,RC02518,RC02873","ko00000,ko00001,ko01000",-,-,-,Pyr_redox_2
group_417,,ketoacyl-ACP synthase III,22,22,1,1,638,NA,NA,NA,942,942,942,iT_Sepi_28B01_00690,iT_Shom_28A10_00442,Scap_29E04_ad_01445,Scap_2C01_ad_01752,Scap_2C12_adm_02236,Scap_58D05_ad_01517,Scap_6C02_adm_00825,Scap_6C05_adm_01359,Scap_9C11_adm_02218,Scap_DM01A05__00831,Scap_DM12A11__00234,Scap_DM16A07__00772,Scap_DM18D08__00442,Scap_DM21F09__00093,Scap_DM21G11_01830,Scap_DM21G12__01005,Scap_DM23E01__01430,Scap_DM23E05__01765,Scap_DM28A07__00829,Scap_DM34E02__00137,Scap_DM3F02_a_00092,Scap_LM7D7_a_01845,435838.HMPREF0786_00093,1.81e-223,616,"COG0332@1|root,COG0332@2|Bacteria,1TP0K@1239|Firmicutes,4HATK@91061|Bacilli,4GXYX@90964|Staphylococcaceae",91061|Bacilli,I,Catalyzes the condensation reaction of fatty acid synthesis by the addition to an acyl acceptor of two carbons from malonyl-ACP. Catalyzes the first condensation reaction which initiates fatty acid synthesis and may therefore play a role in governing the total rate of fatty acid production. Possesses both acetoacetyl-ACP synthase and acetyl transacylase activities. Its substrate specificity determines the biosynthesis of branched- chain and or straight-chain of fatty acids,fabH,"GO:0003674,GO:0003824,GO:0004312,GO:0004315,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006082,GO:0006629,GO:0006631,GO:0006633,GO:0008150,GO:0008152,GO:0008610,GO:0009058,GO:0009987,GO:0016053,GO:0016740,GO:0016746,GO:0016747,GO:0019752,GO:0032787,GO:0033818,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044281,GO:0044283,GO:0044424,GO:0044464,GO:0046394,GO:0071704,GO:0072330,GO:1901576",2.3.1.180,ko:K00648,"ko00061,ko01100,ko01212,map00061,map01100,map01212","M00082,M00083",R10707,"RC00004,RC02729,RC02888","ko00000,ko00001,ko00002,ko01000,ko01004",-,-,iYO844.BSU11330,"ACP_syn_III,ACP_syn_III_C"
group_416,,bifunctional oligoribonuclease/PAP phosphatase NrnA,22,22,1,1,637,NA,NA,NA,942,942,942,iT_Sepi_28B01_00153,iT_Shom_28A10_00983,Scap_29E04_ad_01613,Scap_2C01_ad_01081,Scap_2C12_adm_01479,Scap_58D05_ad_01296,Scap_6C02_adm_00153,Scap_6C05_adm_01999,Scap_9C11_adm_01459,Scap_DM01A05__00151,Scap_DM12A11__01346,Scap_DM16A07__01313,Scap_DM18D08__00986,Scap_DM21F09__00765,Scap_DM21G11_01153,Scap_DM21G12__00525,Scap_DM23E01__01209,Scap_DM23E05__00643,Scap_DM28A07__00152,Scap_DM34E02__00573,Scap_DM3F02_a_00762,Scap_LM7D7_a_01099,435838.HMPREF0786_00765,1.76e-230,634,"COG0618@1|root,COG0618@2|Bacteria,1TPXX@1239|Firmicutes,4H9ZW@91061|Bacilli,4GXF3@90964|Staphylococcaceae",91061|Bacilli,S,DHHA1 domain,nrnA,"GO:0003674,GO:0003676,GO:0003824,GO:0004518,GO:0004527,GO:0005488,GO:0006139,GO:0006725,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0008252,GO:0008441,GO:0009987,GO:0016311,GO:0016787,GO:0016788,GO:0016791,GO:0034641,GO:0042578,GO:0043170,GO:0044237,GO:0044238,GO:0046483,GO:0071704,GO:0090304,GO:0090305,GO:0097159,GO:1901360,GO:1901363","3.1.13.3,3.1.3.7",ko:K06881,"ko00920,ko01100,ko01120,map00920,map01100,map01120",-,"R00188,R00508",RC00078,"ko00000,ko00001,ko01000,ko03400",-,-,-,"DHH,DHHA1"
yhaM,yhaM,3'-5' exoribonuclease YhaM,22,22,1,1,636,NA,NA,NA,942,942,942,iT_Sepi_28B01_00048,iT_Shom_28A10_00878,Scap_29E04_ad_01719,Scap_2C01_ad_00973,Scap_2C12_adm_02151,Scap_58D05_ad_01402,Scap_6C02_adm_00046,Scap_6C05_adm_02105,Scap_9C11_adm_01562,Scap_DM01A05__02393,Scap_DM12A11__01241,Scap_DM16A07__02370,Scap_DM18D08__00881,Scap_DM21F09__02227,Scap_DM21G11_01048,Scap_DM21G12__00421,Scap_DM23E01__01314,Scap_DM23E05__02221,Scap_DM28A07__00048,Scap_DM34E02__00678,Scap_DM3F02_a_00868,Scap_LM7D7_a_00996,435838.HMPREF0786_00916,1.97e-227,626,"COG3481@1|root,COG3481@2|Bacteria,1TPIU@1239|Firmicutes,4HB1M@91061|Bacilli,4GXGT@90964|Staphylococcaceae",91061|Bacilli,S,Metal dependent phosphohydrolases with conserved 'HD' motif.,yhaM,"GO:0000175,GO:0003674,GO:0003676,GO:0003677,GO:0003824,GO:0004518,GO:0004527,GO:0004532,GO:0004540,GO:0005488,GO:0006139,GO:0006364,GO:0006396,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008408,GO:0009987,GO:0010467,GO:0016070,GO:0016072,GO:0016787,GO:0016788,GO:0016796,GO:0016896,GO:0022613,GO:0031123,GO:0031125,GO:0034470,GO:0034641,GO:0034660,GO:0042254,GO:0043170,GO:0043628,GO:0044085,GO:0044237,GO:0044238,GO:0046483,GO:0071704,GO:0071840,GO:0090304,GO:0090305,GO:0090501,GO:0090503,GO:0097159,GO:0140098,GO:1901360,GO:1901363",-,ko:K03698,-,-,-,-,"ko00000,ko01000,ko03019",-,-,-,"HD,tRNA_anti-codon"
group_415,,DNA-directed RNA polymerase subunit alpha,22,22,1,1,635,NA,NA,NA,945,945,945,iT_Sepi_28B01_01945,iT_Shom_28A10_02123,Scap_29E04_ad_00809,Scap_2C01_ad_00673,Scap_2C12_adm_00989,Scap_58D05_ad_00042,Scap_6C02_adm_01710,Scap_6C05_adm_00654,Scap_9C11_adm_01988,Scap_DM01A05__02111,Scap_DM12A11__00664,Scap_DM16A07__00643,Scap_DM18D08__01976,Scap_DM21F09__01288,Scap_DM21G11_00741,Scap_DM21G12__01123,Scap_DM23E01__00655,Scap_DM23E05__00734,Scap_DM28A07__01236,Scap_DM34E02__01041,Scap_DM3F02_a_00955,Scap_LM7D7_a_00680,435838.HMPREF0786_00975,2.25e-213,590,"COG0202@1|root,COG0202@2|Bacteria,1TPR8@1239|Firmicutes,4H9R1@91061|Bacilli,4GXAR@90964|Staphylococcaceae",91061|Bacilli,K,DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates,rpoA,"GO:0003674,GO:0003676,GO:0003677,GO:0003824,GO:0003899,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006139,GO:0006351,GO:0006354,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0016070,GO:0016740,GO:0016772,GO:0016779,GO:0018130,GO:0019438,GO:0032774,GO:0034062,GO:0034641,GO:0034645,GO:0034654,GO:0043170,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044424,GO:0044464,GO:0046483,GO:0046983,GO:0071704,GO:0090304,GO:0097159,GO:0097659,GO:0097747,GO:0140098,GO:1901360,GO:1901362,GO:1901363,GO:1901576",2.7.7.6,ko:K03040,"ko00230,ko00240,ko01100,ko03020,map00230,map00240,map01100,map03020",M00183,"R00435,R00441,R00442,R00443",RC02795,"br01611,ko00000,ko00001,ko00002,ko01000,ko03021,ko03400",-,-,-,"RNA_pol_A_CTD,RNA_pol_A_bac,RNA_pol_L"
whiA,whiA,DNA-binding protein WhiA,22,22,1,1,634,NA,NA,NA,945,945,945,iT_Sepi_28B01_01248,iT_Shom_28A10_00575,Scap_29E04_ad_01909,Scap_2C01_ad_01873,Scap_2C12_adm_00110,Scap_58D05_ad_01787,Scap_6C02_adm_01773,Scap_6C05_adm_01792,Scap_9C11_adm_01223,Scap_DM01A05__01690,Scap_DM12A11__00367,Scap_DM16A07__02209,Scap_DM18D08__00576,Scap_DM21F09__01570,Scap_DM21G11_01966,Scap_DM21G12__01738,Scap_DM23E01__01879,Scap_DM23E05__01419,Scap_DM28A07__00941,Scap_DM34E02__00270,Scap_DM3F02_a_01774,Scap_LM7D7_a_01957,435838.HMPREF0786_02044,1.16e-215,596,"COG1481@1|root,COG1481@2|Bacteria,1TP2X@1239|Firmicutes,4HB4H@91061|Bacilli,4GXYB@90964|Staphylococcaceae",91061|Bacilli,K,May be required for sporulation,whiA,"GO:0003674,GO:0003676,GO:0003677,GO:0003824,GO:0004518,GO:0004519,GO:0005488,GO:0006139,GO:0006351,GO:0006355,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009889,GO:0009987,GO:0010467,GO:0010468,GO:0010556,GO:0016070,GO:0016787,GO:0016788,GO:0018130,GO:0019219,GO:0019222,GO:0019438,GO:0031323,GO:0031326,GO:0032774,GO:0034641,GO:0034645,GO:0034654,GO:0043170,GO:0043937,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0046483,GO:0050789,GO:0050793,GO:0050794,GO:0051171,GO:0051252,GO:0060255,GO:0065007,GO:0071704,GO:0080090,GO:0090304,GO:0090305,GO:0097159,GO:0097659,GO:1901360,GO:1901362,GO:1901363,GO:1901576,GO:1903506,GO:2000112,GO:2001141",-,ko:K09762,-,-,-,-,ko00000,-,-,-,"HTH_WhiA,LAGLIDADG_WhiA,WhiA_N"
group_414,,glycine/betaine ABC transporter substrate-binding protein,22,22,1,1,633,NA,NA,NA,945,945,945,iT_Sepi_28B01_00943,iT_Shom_28A10_01676,Scap_29E04_ad_00576,Scap_2C01_ad_00439,Scap_2C12_adm_00682,Scap_58D05_ad_00275,Scap_6C02_adm_01477,Scap_6C05_adm_00418,Scap_9C11_adm_00973,Scap_DM01A05__01092,Scap_DM12A11__00896,Scap_DM16A07__00412,Scap_DM18D08__01480,Scap_DM21F09__01522,Scap_DM21G11_00508,Scap_DM21G12__01354,Scap_DM23E01__00418,Scap_DM23E05__00965,Scap_DM28A07__01466,Scap_DM34E02__00981,Scap_DM3F02_a_01188,Scap_LM7D7_a_00452,435838.HMPREF0786_01211,3.95e-223,615,"COG1732@1|root,COG1732@2|Bacteria,1TQ7D@1239|Firmicutes,4HARV@91061|Bacilli,4GXZV@90964|Staphylococcaceae",91061|Bacilli,M,Amino acid ABC transporter amino acid-binding protein,opuCC,"GO:0003674,GO:0005215,GO:0005575,GO:0005623,GO:0005886,GO:0006810,GO:0006811,GO:0006812,GO:0006820,GO:0006865,GO:0008150,GO:0015695,GO:0015696,GO:0015697,GO:0015711,GO:0015838,GO:0015849,GO:0016020,GO:0016021,GO:0022857,GO:0031224,GO:0031460,GO:0032991,GO:0043190,GO:0044425,GO:0044459,GO:0044464,GO:0046942,GO:0051179,GO:0051234,GO:0055085,GO:0071702,GO:0071705,GO:0071944,GO:0072337,GO:0098533,GO:0098796,GO:0098797,GO:1902494,GO:1902495,GO:1904949,GO:1990351",-,ko:K05845,"ko02010,map02010",M00209,-,-,"ko00000,ko00001,ko00002,ko02000",3.A.1.12,-,-,OpuAC
group_413,,acetyl-CoA carboxylase carboxyltransferase subunit alpha,22,22,1,1,632,NA,NA,NA,945,945,945,iT_Sepi_28B01_00157,iT_Shom_28A10_00987,Scap_29E04_ad_01609,Scap_2C01_ad_01085,Scap_2C12_adm_01475,Scap_58D05_ad_01292,Scap_6C02_adm_00157,Scap_6C05_adm_01995,Scap_9C11_adm_01455,Scap_DM01A05__00155,Scap_DM12A11__01350,Scap_DM16A07__01317,Scap_DM18D08__00990,Scap_DM21F09__00761,Scap_DM21G11_01157,Scap_DM21G12__00529,Scap_DM23E01__01205,Scap_DM23E05__00639,Scap_DM28A07__00156,Scap_DM34E02__00569,Scap_DM3F02_a_00758,Scap_LM7D7_a_01103,435838.HMPREF0786_00761,6.54e-222,612,"COG0825@1|root,COG0825@2|Bacteria,1UHNS@1239|Firmicutes,4HA4C@91061|Bacilli,4GXZQ@90964|Staphylococcaceae",91061|Bacilli,I,"Component of the acetyl coenzyme A carboxylase (ACC) complex. First, biotin carboxylase catalyzes the carboxylation of biotin on its carrier protein (BCCP) and then the CO(2) group is transferred by the carboxyltransferase to acetyl-CoA to form malonyl-CoA",accA,"GO:0000166,GO:0003674,GO:0003824,GO:0003989,GO:0005488,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006082,GO:0006139,GO:0006163,GO:0006164,GO:0006629,GO:0006631,GO:0006633,GO:0006637,GO:0006725,GO:0006732,GO:0006753,GO:0006790,GO:0006793,GO:0006796,GO:0006807,GO:0008144,GO:0008150,GO:0008152,GO:0008610,GO:0009058,GO:0009108,GO:0009117,GO:0009150,GO:0009152,GO:0009165,GO:0009259,GO:0009260,GO:0009317,GO:0009987,GO:0016053,GO:0016421,GO:0016740,GO:0016874,GO:0016885,GO:0017076,GO:0018130,GO:0019438,GO:0019637,GO:0019693,GO:0019752,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0032787,GO:0032991,GO:0033865,GO:0033866,GO:0033875,GO:0034030,GO:0034032,GO:0034033,GO:0034641,GO:0034654,GO:0035383,GO:0035384,GO:0035639,GO:0036094,GO:0042221,GO:0043167,GO:0043168,GO:0043436,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044271,GO:0044272,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046390,GO:0046394,GO:0046483,GO:0046677,GO:0050896,GO:0051186,GO:0051188,GO:0055086,GO:0071616,GO:0071704,GO:0072330,GO:0072521,GO:0072522,GO:0090407,GO:0097159,GO:0097367,GO:1901135,GO:1901137,GO:1901265,GO:1901293,GO:1901360,GO:1901362,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1902494,GO:2001293,GO:2001295","2.1.3.15,6.4.1.2",ko:K01962,"ko00061,ko00620,ko00640,ko00720,ko01100,ko01110,ko01120,ko01130,ko01200,ko01212,map00061,map00620,map00640,map00720,map01100,map01110,map01120,map01130,map01200,map01212","M00082,M00376","R00742,R04386","RC00040,RC00253,RC00367","ko00000,ko00001,ko00002,ko01000",-,-,-,ACCA
corA,corA,magnesium/cobalt transporter CorA,22,22,1,1,631,NA,NA,NA,948,948,948,iT_Sepi_28B01_01812,iT_Shom_28A10_01576,Scap_29E04_ad_00675,Scap_2C01_ad_00539,Scap_2C12_adm_01121,Scap_58D05_ad_00175,Scap_6C02_adm_01576,Scap_6C05_adm_00519,Scap_9C11_adm_01070,Scap_DM01A05__00994,Scap_DM12A11__00796,Scap_DM16A07__00511,Scap_DM18D08__01843,Scap_DM21F09__01422,Scap_DM21G11_00608,Scap_DM21G12__01254,Scap_DM23E01__00520,Scap_DM23E05__00867,Scap_DM28A07__01368,Scap_DM34E02__01173,Scap_DM3F02_a_01089,Scap_LM7D7_a_00549,435838.HMPREF0786_01111,2.8e-228,628,"COG0598@1|root,COG0598@2|Bacteria,1TPSV@1239|Firmicutes,4HAPC@91061|Bacilli,4GXSP@90964|Staphylococcaceae",91061|Bacilli,P,Mediates influx of magnesium ions,corA,-,-,ko:K03284,-,-,-,-,"ko00000,ko02000","1.A.35.1,1.A.35.3",-,-,CorA
group_412,,magnesium transporter CorA family protein,22,22,1,1,630,NA,NA,NA,948,948,948,iT_Sepi_28B01_01775,iT_Shom_28A10_01613,Scap_29E04_ad_00639,Scap_2C01_ad_00502,Scap_2C12_adm_01158,Scap_58D05_ad_00211,Scap_6C02_adm_01540,Scap_6C05_adm_00482,Scap_9C11_adm_01034,Scap_DM01A05__01030,Scap_DM12A11__00833,Scap_DM16A07__00474,Scap_DM18D08__01806,Scap_DM21F09__01458,Scap_DM21G11_00570,Scap_DM21G12__01292,Scap_DM23E01__00482,Scap_DM23E05__00903,Scap_DM28A07__01405,Scap_DM34E02__01210,Scap_DM3F02_a_01125,Scap_LM7D7_a_00513,435838.HMPREF0786_01149,1.71e-213,591,"COG0598@1|root,COG0598@2|Bacteria,1TPI8@1239|Firmicutes,4HE7S@91061|Bacilli,4GX69@90964|Staphylococcaceae",91061|Bacilli,P,Transporter,corA,-,-,ko:K03284,-,-,-,-,"ko00000,ko02000","1.A.35.1,1.A.35.3",-,-,CorA
group_411,,PhoH family protein,22,22,1,1,629,NA,NA,NA,948,948,948,iT_Sepi_28B01_00268,iT_Shom_28A10_01098,Scap_29E04_ad_00891,Scap_2C01_ad_01198,Scap_2C12_adm_00402,Scap_58D05_ad_01179,Scap_6C02_adm_00270,Scap_6C05_adm_00804,Scap_9C11_adm_00511,Scap_DM01A05__00266,Scap_DM12A11__01461,Scap_DM16A07__01430,Scap_DM18D08__01101,Scap_DM21F09__00648,Scap_DM21G11_01268,Scap_DM21G12__00640,Scap_DM23E01__01092,Scap_DM23E05__00526,Scap_DM28A07__00267,Scap_DM34E02__00458,Scap_DM3F02_a_00645,Scap_LM7D7_a_01214,525378.HMPREF0793_2318,1.17e-220,609,"COG1702@1|root,COG1702@2|Bacteria,1TP35@1239|Firmicutes,4HBD5@91061|Bacilli,4GXWS@90964|Staphylococcaceae",91061|Bacilli,T,Phosphate starvation-inducible protein PhoH,phoH,"GO:0000166,GO:0003674,GO:0005488,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0008144,GO:0017076,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0035639,GO:0036094,GO:0043167,GO:0043168,GO:0044424,GO:0044464,GO:0097159,GO:0097367,GO:1901265,GO:1901363",-,ko:K06217,-,-,-,-,ko00000,-,-,-,PhoH
group_410,,class I SAM-dependent methyltransferase,22,22,1,1,628,NA,NA,NA,948,948,948,iT_Sepi_28B01_00145,iT_Shom_28A10_00975,Scap_29E04_ad_01621,Scap_2C01_ad_01073,Scap_2C12_adm_01487,Scap_58D05_ad_01304,Scap_6C02_adm_00145,Scap_6C05_adm_02007,Scap_9C11_adm_01467,Scap_DM01A05__00143,Scap_DM12A11__01338,Scap_DM16A07__01305,Scap_DM18D08__00978,Scap_DM21F09__00773,Scap_DM21G11_01145,Scap_DM21G12__00517,Scap_DM23E01__01217,Scap_DM23E05__00651,Scap_DM28A07__00144,Scap_DM34E02__00581,Scap_DM3F02_a_00770,Scap_LM7D7_a_01091,435838.HMPREF0786_00773,3.13e-225,620,"COG0827@1|root,COG0827@2|Bacteria,1TRIQ@1239|Firmicutes,4H9SE@91061|Bacilli,4GWY4@90964|Staphylococcaceae",91061|Bacilli,L,N-6 DNA Methylase,ytxK,"GO:0003674,GO:0003676,GO:0003677,GO:0003824,GO:0005488,GO:0006139,GO:0006259,GO:0006304,GO:0006305,GO:0006306,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008168,GO:0008170,GO:0009987,GO:0016740,GO:0016741,GO:0032259,GO:0034641,GO:0043170,GO:0043412,GO:0043414,GO:0044237,GO:0044238,GO:0044260,GO:0044728,GO:0046483,GO:0071704,GO:0090304,GO:0097159,GO:1901360,GO:1901363",2.1.1.72,ko:K00571,-,-,-,-,"ko00000,ko01000,ko02048",-,-,-,N6_Mtase
group_408,,phosphoglycerate dehydrogenase,22,22,1,1,626,NA,NA,NA,951,951,951,iT_Sepi_28B01_02163,iT_Shom_28A10_01945,Scap_29E04_ad_01932,Scap_2C01_ad_00927,Scap_2C12_adm_01831,Scap_58D05_ad_02044,Scap_6C02_adm_01918,Scap_6C05_adm_02152,Scap_9C11_adm_01900,Scap_DM01A05__02039,Scap_DM12A11__02187,Scap_DM16A07__01934,Scap_DM18D08__02019,Scap_DM21F09__01835,Scap_DM21G11_00997,Scap_DM21G12__02123,Scap_DM23E01__02025,Scap_DM23E05__01855,Scap_DM28A07__02021,Scap_DM34E02__01969,Scap_DM3F02_a_02039,Scap_LM7D7_a_00944,435838.HMPREF0786_02066,6.1e-228,627,"COG0111@1|root,COG0111@2|Bacteria,1TSDK@1239|Firmicutes,4HAW5@91061|Bacilli,4GX2S@90964|Staphylococcaceae",91061|Bacilli,EH,Belongs to the D-isomer specific 2-hydroxyacid dehydrogenase family,ghrA,-,-,-,-,-,-,-,-,-,-,-,"2-Hacid_dh,2-Hacid_dh_C"
