ID	Graph	subcat	iT_Sepi_28B01	iT_Shom_28A10	Scap_29E04_ad	Scap_2C01_ad	Scap_2C12_adm	Scap_58D05_ad	Scap_6C02_adm	Scap_6C05_adm	Scap_9C11_adm	Scap_DM01A05_	Scap_DM12A11_	Scap_DM16A07_	Scap_DM18D08_	Scap_DM21F09_	Scap_DM21G11	Scap_DM21G12_	Scap_DM23E01_	Scap_DM23E05_	Scap_DM28A07_	Scap_DM34E02_	Scap_DM3F02_a	Scap_LM7D7_a	Sepi_1A04_aaa	Sepi_1C01_aaa	Sepi_28C09_ad	Sepi_2A01_aaa	Sepi_2C10_adq	Sepi_2D07_adq	Sepi_2d12_aaa	Sepi_2E07_adq	Sepi_2g06_aaa	Sepi_30A07_ad	Sepi_3A01_adq	Sepi_3a11_aaa	Sepi_3C06_adq	Sepi_3D11_aaa	Sepi_58D03_CD	Sepi_58D04_CD	Sepi_58F01_CD	Sepi_5A02_aaa	Sepi_5B11_aaa	Sepi_5c01_aaa	Sepi_5C04_adq	Sepi_61B02_CD	Sepi_63G02_CD	Sepi_6A01_aaa	Sepi_6B08_adq	Sepi_6C06_aaa	Sepi_6C08_adq	Sepi_6d05_aaa	Sepi_6E08_adq	Sepi_7a07_aaa	Sepi_7B05_aaa	Sepi_8C10_adq	Sepi_9B05_adq	Sepi_9D01_adq	Sepi_9d05_aa	Sepi_DM12G05_	Sepi_DM12H06_	Sepi_DM1B01_a	Sepi_DM21A02_	Sepi_DM21B07	Sepi_DM21C07_	Sepi_DM23A02_	Sepi_DM23C12_	Sepi_DM23E02_	Sepi_DM23E06_	Sepi_DM24B02_	Sepi_DM24B03	Sepi_DM39F06_	Sepi_DM3A08_a	Shom_1B10_acr	Shom_28B02_ad	Shom_29E11_ac	Shom_2B10_adj	Shom_2B11_adj	Shom_2D11_acr	Shom_2F01_adj	Shom_2F05_acv	Shom_2F07_acv	Shom_2F10_acv	Shom_5A08_acr	Shom_6C071_ad	Shom_8B11_acr	Shom_8D02_acr	Shom_8D04_acr	Shom_8D05_adj	Shom_DM02E06_	Shom_DM02G07_	Shom_DM02G12_	Shom_DM02H05_	Shom_DM03A10_	Shom_DM12A09_	Shom_DM12F06_	Shom_DM12F12_	Shom_DM18D10	Shom_DM18F06_	Shom_DM21B05	Shom_DM21C01_	Shom_DM21C12_	Shom_DM21D06	Shom_DM22B12_	Shom_DM24G02_	Shom_DM24H08_	Shom_DM25G05_	Shom_DM25H12_	Shom_DM27C08_	Shom_DM31A10_	Shom_DM31B10_	Shom_DM31D12_	Shom_DM31G11_	Shom_DM32C02_	Shom_DM32D02_	Shom_DM32D12_	Shom_DM33A05_	Shom_DM33B12_	Shom_DM34G04_	Shom_DM37E12_	Shom_DM40D01_	Shom_DM40D04_	Shom_DM41A09_	Shom_DM41C02_	Shom_DM41C04_	Shom_DM41C05_	Shom_DM41C06_	Shom_DM41C08_	Scap_clust	6	7	8	11	12	13	18	Sepi_clust	6	7	8	11	12	13	18	Shom_clust	6	7	8	11	12	13	18
S0509	C	CCC	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	group_673	C	nitroreductase	frp	-	-	-	-	group_3814	C	nitroreductase	frp	-	-	-	-	group_3811	C	nitroreductase	frp	-	-	-	-	
S0510	C	CCC	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	srtA	M	COG3764 Sortase (surface protein transpeptidase)	srtA	ko:K07284	-	-	-	group_2331	M	COG3764 Sortase (surface protein transpeptidase)	srtA	ko:K07284	-	-	-	srtA	M	COG3764 Sortase (surface protein transpeptidase)	srtA	ko:K07284	-	-	-	
S0511	C	CCC	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	sdaAA	E	L-serine dehydratase	sdaAA	ko:K01752	ko00260,ko00270,ko01100,ko01110,ko01130,ko01200,ko01230,map00260,map00270,map01100,map01110,map01130,map01200,map01230	-	-	sdaAA	E	L-serine dehydratase	sdaAA	ko:K01752	ko00260,ko00270,ko01100,ko01110,ko01130,ko01200,ko01230,map00260,map00270,map01100,map01110,map01130,map01200,map01230	-	-	sdaAA	E	L-serine dehydratase	sdaAA	ko:K01752	ko00260,ko00270,ko01100,ko01110,ko01130,ko01200,ko01230,map00260,map00270,map01100,map01110,map01130,map01200,map01230	-	-	
S0512	C	CCC	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	sdaAB	E	L-serine dehydratase	sdhB	ko:K01752	ko00260,ko00270,ko01100,ko01110,ko01130,ko01200,ko01230,map00260,map00270,map01100,map01110,map01130,map01200,map01230	-	-	group_2105	E	L-serine dehydratase	sdhB	ko:K01752	ko00260,ko00270,ko01100,ko01110,ko01130,ko01200,ko01230,map00260,map00270,map01100,map01110,map01130,map01200,map01230	-	-	group_86	E	L-serine dehydratase	sdhB	ko:K01752	ko00260,ko00270,ko01100,ko01110,ko01130,ko01200,ko01230,map00260,map00270,map01100,map01110,map01130,map01200,map01230	-	-	
S0513	C	CCC	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	group_333	S	COG1299 Phosphotransferase system, fructose-specific IIC component	pfoR	-	-	-	-	group_1450	S	COG1299 Phosphotransferase system, fructose-specific IIC component	pfoR	-	-	-	-	group_1008	S	COG1299 Phosphotransferase system, fructose-specific IIC component	pfoR	-	-	-	-	
S0514	C	CCC	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	xylB	G	xylulose kinase	xylB	ko:K00854	ko00040,ko01100,map00040,map01100	M00014	-	xylB	G	xylulose kinase	xylB	ko:K00854	ko00040,ko01100,map00040,map01100	M00014	-	xylB	G	xylulose kinase	xylB	ko:K00854	ko00040,ko01100,map00040,map01100	M00014	-	
S0515	C	CC?	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	rbsU	U	ribose uptake protein rbsU	rbsU	ko:K06216	-	-	-	rbsU	U	ribose uptake protein rbsU	rbsU	ko:K06216	-	-	-	?	?	?	?	?	?	?	?	
S0516	C	CCC	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	group_95	E	Gamma-glutamyltranspeptidase	-	ko:K00681	ko00430,ko00460,ko00480,ko01100,map00430,map00460,map00480,map01100	-	-	group_711	E	Gamma-glutamyltranspeptidase	-	ko:K00681	ko00430,ko00460,ko00480,ko01100,map00430,map00460,map00480,map01100	-	-	group_1345	E	Gamma-glutamyltranspeptidase	-	ko:K00681	ko00430,ko00460,ko00480,ko01100,map00430,map00460,map00480,map01100	-	-	
S0517	C	CCC	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	group_1296	-	-	-	-	-	-	-	group_1569	-	-	-	-	-	-	-	group_1111	-	-	-	-	-	-	-	
S0518	C	CCC	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	group_309	M	Bacterial capsule synthesis protein PGA_cap	capA	ko:K07282	-	-	-	group_1417	M	Bacterial capsule synthesis protein PGA_cap	capA	ko:K07282	-	-	-	group_348	M	Bacterial capsule synthesis protein PGA_cap	capA	ko:K07282	-	-	-	
S0519	C	CCC	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	pgsC	S	Capsule biosynthesis CapC	capC	ko:K22116	-	-	-	pgsC	S	Capsule biosynthesis CapC	capC	ko:K22116	-	-	-	pgsC	S	Capsule biosynthesis CapC	capC	ko:K22116	-	-	-	
S0520	C	CCC	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	pgsB	M	Mur ligase middle domain	capB	ko:K01932	-	-	-	group_1294	M	Mur ligase middle domain	capB	ko:K01932	-	-	-	pgsB	M	Mur ligase middle domain	capB	ko:K01932	-	-	-	
S0521	C	CCC	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	group_381	I	Steryl acetyl hydrolase	-	-	-	-	-	group_206	I	Steryl acetyl hydrolase	-	-	-	-	-	group_953	I	Steryl acetyl hydrolase	-	-	-	-	-	
S0522	C	CC?	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	group_499	S	Uncharacterised 5xTM membrane BCR, YitT family COG1284	-	-	-	-	-	group_1801	S	Uncharacterised 5xTM membrane BCR, YitT family COG1284	-	-	-	-	-	?	?	?	?	?	?	?	?	
S0523	C	CCC	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	group_1042	CO	Thioredoxin	ydfQ	-	-	-	-	group_2328	CO	Thioredoxin	ydfQ	-	-	-	-	group_535	CO	Thioredoxin	ydfQ	-	-	-	-	
S0524	I	CCC	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	group_575	S	CAAX protease self-immunity	XK27_07085	ko:K07052	-	-	-	group_2944	S	CAAX protease self-immunity	XK27_07085	ko:K07052	-	-	-	group_1037	S	CAAX protease self-immunity	-	ko:K07052	-	-	-	
S0525	C	CCC	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	ptsG	G	The phosphoenolpyruvate-dependent sugar phosphotransferase system (sugar PTS), a major carbohydrate active transport system, catalyzes the phosphorylation of incoming sugar substrates concomitantly with their translocation across the cell membrane. This system is involved in	ptsG	ko:K02763,ko:K02764,ko:K02765,ko:K02790,ko:K02791,ko:K20116,ko:K20117,ko:K20118	ko00010,ko00500,ko00520,ko02060,map00010,map00500,map00520,map02060	M00266,M00282,M00809	-	group_2974	G	The phosphoenolpyruvate-dependent sugar phosphotransferase system (sugar PTS), a major carbohydrate active transport system, catalyzes the phosphorylation of incoming sugar substrates concomitantly with their translocation across the cell membrane. This system is involved in	ptsG	ko:K02763,ko:K02764,ko:K02765,ko:K02790,ko:K02791,ko:K20116,ko:K20117,ko:K20118	ko00010,ko00500,ko00520,ko02060,map00010,map00500,map00520,map02060	M00266,M00282,M00809	-	ptsG~~~ptsG_1~~~ptsG_2	G	The phosphoenolpyruvate-dependent sugar phosphotransferase system (sugar PTS), a major carbohydrate active transport system, catalyzes the phosphorylation of incoming sugar substrates concomitantly with their translocation across the cell membrane. This system is involved in	ptsG	ko:K02763,ko:K02764,ko:K02765,ko:K02790,ko:K02791,ko:K20116,ko:K20117,ko:K20118	ko00010,ko00500,ko00520,ko02060,map00010,map00500,map00520,map02060	M00266,M00282,M00809	-	
S0526	C	CCC	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	group_59	C	Belongs to the TPP enzyme family	cidC	ko:K00158	ko00620,ko01100,map00620,map01100	-	-	group_579	C	Belongs to the TPP enzyme family	cidC	ko:K00158	ko00620,ko01100,map00620,map01100	-	-	group_3225	C	Belongs to the TPP enzyme family	cidC	ko:K00158	ko00620,ko01100,map00620,map01100	-	-	
S0527	C	CCC	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	group_639	M	Increases the activity of extracellular murein hydrolases possibly by mediating their export via hole formation. Inhibited by the antiholin-like proteins LrgAB. In an unstressed cell, the LrgAB products probably inhibit the function of the CidAB proteins. When a cell is stressed by the addition of antibiotics or by other factors in the environment, the CidAB proteins possibly oligomerize within the bacterial cell membrane, creating lesions that disrupt the proton motive force, which in turn results in loss of cell viability. These lesions are also hypothesized to regulate the subsequent cell lysis by either allowing the murein hydrolases access to the cell wall substrate and or regulating their activity by a	cidB	-	-	-	-	group_2083	M	Increases the activity of extracellular murein hydrolases possibly by mediating their export via hole formation. Inhibited by the antiholin-like proteins LrgAB. In an unstressed cell, the LrgAB products probably inhibit the function of the CidAB proteins. When a cell is stressed by the addition of antibiotics or by other factors in the environment, the CidAB proteins possibly oligomerize within the bacterial cell membrane, creating lesions that disrupt the proton motive force, which in turn results in loss of cell viability. These lesions are also hypothesized to regulate the subsequent cell lysis by either allowing the murein hydrolases access to the cell wall substrate and or regulating their activity by a	cidB	-	-	-	-	group_2846	M	Increases the activity of extracellular murein hydrolases possibly by mediating their export via hole formation. Inhibited by the antiholin-like proteins LrgAB. In an unstressed cell, the LrgAB products probably inhibit the function of the CidAB proteins. When a cell is stressed by the addition of antibiotics or by other factors in the environment, the CidAB proteins possibly oligomerize within the bacterial cell membrane, creating lesions that disrupt the proton motive force, which in turn results in loss of cell viability. These lesions are also hypothesized to regulate the subsequent cell lysis by either allowing the murein hydrolases access to the cell wall substrate and or regulating their activity by a	cidB	-	-	-	-	
S0528	C	CCC	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	group_953	S	Increases the activity of extracellular murein hydrolases possibly by mediating their export via hole formation. Inhibited by the antiholin-like proteins LrgAB. In an unstressed cell, the LrgAB products probably inhibit the function of the CidAB proteins. When a cell is stressed by the addition of antibiotics or by other factors in the environment, the CidAB proteins possibly oligomerize within the bacterial cell membrane, creating lesions that disrupt the proton motive force, which in turn results in loss of cell viability. These lesions are also hypothesized to regulate the subsequent cell lysis by either allowing the murein hydrolases access to the cell wall substrate and or regulating their activity by a	cidA	ko:K06518	-	-	-	group_3269	S	Increases the activity of extracellular murein hydrolases possibly by mediating their export via hole formation. Inhibited by the antiholin-like proteins LrgAB. In an unstressed cell, the LrgAB products probably inhibit the function of the CidAB proteins. When a cell is stressed by the addition of antibiotics or by other factors in the environment, the CidAB proteins possibly oligomerize within the bacterial cell membrane, creating lesions that disrupt the proton motive force, which in turn results in loss of cell viability. These lesions are also hypothesized to regulate the subsequent cell lysis by either allowing the murein hydrolases access to the cell wall substrate and or regulating their activity by a	cidA	ko:K06518	-	-	-	group_3383	S	Increases the activity of extracellular murein hydrolases possibly by mediating their export via hole formation. Inhibited by the antiholin-like proteins LrgAB. In an unstressed cell, the LrgAB products probably inhibit the function of the CidAB proteins. When a cell is stressed by the addition of antibiotics or by other factors in the environment, the CidAB proteins possibly oligomerize within the bacterial cell membrane, creating lesions that disrupt the proton motive force, which in turn results in loss of cell viability. These lesions are also hypothesized to regulate the subsequent cell lysis by either allowing the murein hydrolases access to the cell wall substrate and or regulating their activity by a	cidA	ko:K06518	-	-	-	
S0529	C	CCC	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	group_466	K	Transcriptional regulator	ywbI	-	-	-	-	group_1723	K	Transcriptional regulator	ywbI	-	-	-	-	group_491	K	Transcriptional regulator	ywbI	-	-	-	-	
S0530	C	CCC	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	group_905	S	CHAP domain	-	-	-	-	-	group_2251	S	CHAP domain	-	-	-	-	-	group_3907	S	CHAP domain	-	-	-	-	-	
S0531	C	CCC	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	group_200	C	Belongs to the HMG-CoA reductase family	mvaA	ko:K00054,ko:K00626	ko00071,ko00072,ko00280,ko00310,ko00362,ko00380,ko00620,ko00630,ko00640,ko00650,ko00720,ko00900,ko01100,ko01110,ko01120,ko01130,ko01200,ko01212,ko02020,map00071,map00072,map00280,map00310,map00362,map00380,map00620,map00630,map00640,map00650,map00720,map00900,map01100,map01110,map01120,map01130,map01200,map01212,map02020	M00088,M00095,M00373,M00374,M00375	-	group_3759	C	Belongs to the HMG-CoA reductase family	mvaA	ko:K00054,ko:K00626	ko00071,ko00072,ko00280,ko00310,ko00362,ko00380,ko00620,ko00630,ko00640,ko00650,ko00720,ko00900,ko01100,ko01110,ko01120,ko01130,ko01200,ko01212,ko02020,map00071,map00072,map00280,map00310,map00362,map00380,map00620,map00630,map00640,map00650,map00720,map00900,map01100,map01110,map01120,map01130,map01200,map01212,map02020	M00088,M00095,M00373,M00374,M00375	-	group_921	C	Belongs to the HMG-CoA reductase family	mvaA	ko:K00054,ko:K00626	ko00071,ko00072,ko00280,ko00310,ko00362,ko00380,ko00620,ko00630,ko00640,ko00650,ko00720,ko00900,ko01100,ko01110,ko01120,ko01130,ko01200,ko01212,ko02020,map00071,map00072,map00280,map00310,map00362,map00380,map00620,map00630,map00640,map00650,map00720,map00900,map01100,map01110,map01120,map01130,map01200,map01212,map02020	M00088,M00095,M00373,M00374,M00375	-	
S0532	C	CCC	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	group_270	I	Hydroxymethylglutaryl-CoA synthase	mvaS	ko:K01641	ko00072,ko00280,ko00650,ko00900,ko01100,ko01110,ko01130,map00072,map00280,map00650,map00900,map01100,map01110,map01130	M00088,M00095	-	group_3110	I	Hydroxymethylglutaryl-CoA synthase	mvaS	ko:K01641	ko00072,ko00280,ko00650,ko00900,ko01100,ko01110,ko01130,map00072,map00280,map00650,map00900,map01100,map01110,map01130	M00088,M00095	-	group_1585	I	Hydroxymethylglutaryl-CoA synthase	mvaS	ko:K01641	ko00072,ko00280,ko00650,ko00900,ko01100,ko01110,ko01130,map00072,map00280,map00650,map00900,map01100,map01110,map01130	M00088,M00095	-	
S0533	C	CCC	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	group_872	-	-	-	-	-	-	-	group_3659	-	-	-	-	-	-	-	group_949	-	-	-	-	-	-	-	
